FID,Join_Count,TARGET_FID,OBJECTID,Join_Cou_1,TARGET_F_1,STFID,F90phy,F2000phy,total2010,ORIG_FID,Xcoor,Ycoor
0,0,0,1,0,0,120010001001,0.000000000000000,0,0.0000000,0,-82.323484544500005,29.655118632200001
1,1,1,2,1,1,120010001002,0.000000000000000,1,10.0000000,1,-82.323598513099995,29.649230577200001
2,0,2,3,0,2,120010001003,0.000000000000000,0,0.0000000,2,-82.326942257300004,29.649384106300001
3,0,3,4,0,3,120010001004,0.000000000000000,0,0.0000000,3,-82.326722544199995,29.654789852299999
4,1,4,5,1,4,120010002001,1.000000000000000,6,1.0000000,4,-82.328654482299996,29.656485383400000
5,0,5,6,1,5,120010002002,0.000000000000000,0,1.0000000,5,-82.332714466900001,29.656652084000001
6,0,6,7,1,6,120010002003,0.000000000000000,0,1.0000000,6,-82.336930999299994,29.656555201600000
7,1,7,8,0,7,120010002004,30.000000000000000,1,0.0000000,7,-82.334423182500004,29.651473518000000
8,1,8,9,0,8,120010002005,0.000000000000000,1,0.0000000,8,-82.338058252099998,29.650224872900001
9,1,9,10,1,9,120010002006,0.000000000000000,2,18.0000000,9,-82.336127762800004,29.645400984599998
10,1,10,11,1,10,120010002007,0.000000000000000,7,5.0000000,10,-82.329920099199995,29.645335005500002
11,0,11,12,0,11,120010002008,3.000000000000000,0,0.0000000,11,-82.329476527500006,29.648740620000002
12,1,12,13,1,12,120010003001,1.000000000000000,8,2.0000000,12,-82.334460473199996,29.692149439400001
13,0,13,14,0,13,120010003002,1.000000000000000,0,0.0000000,13,-82.334966323700002,29.684668614600000
14,0,14,15,0,14,120010003003,0.000000000000000,0,0.0000000,14,-82.334997483099997,29.677393332699999
15,0,15,16,0,15,120010003004,0.000000000000000,0,0.0000000,15,-82.325234580699998,29.681344892900000
16,1,16,17,1,16,120010003005,3.000000000000000,3,7.0000000,16,-82.331194530600001,29.670414845800000
17,0,17,18,1,17,120010003006,6.000000000000000,0,1.0000000,17,-82.326969509999998,29.663014215299999
18,1,18,19,1,18,120010003007,4.000000000000000,31,10.0000000,18,-82.334992792799994,29.662990399500000
19,0,19,20,1,19,120010004001,1.000000000000000,0,1.0000000,19,-82.299130299699996,29.681547983000002
20,0,20,21,0,20,120010004002,1.000000000000000,0,0.0000000,20,-82.304435454200004,29.670636034099999
21,0,21,22,1,21,120010004003,1.000000000000000,0,1.0000000,21,-82.316814377599997,29.670175126499998
22,1,22,23,0,22,120010004004,0.000000000000000,1,0.0000000,22,-82.312766856200000,29.681058655200001
23,0,23,24,1,23,120010005001,0.000000000000000,0,4.0000000,23,-82.307497514600001,29.663575214300000
24,0,24,25,0,24,120010005002,0.000000000000000,0,0.0000000,24,-82.312375055600000,29.660542710600001
25,0,25,26,0,25,120010005003,0.000000000000000,0,0.0000000,25,-82.312471498999997,29.665524785199999
26,0,26,27,1,26,120010005004,6.000000000000000,0,2.0000000,26,-82.318918118900001,29.662978656100002
27,1,27,28,1,27,120010005005,5.000000000000000,3,4.0000000,27,-82.320060119999994,29.656060837500000
28,0,28,29,0,28,120010005006,0.000000000000000,0,0.0000000,28,-82.320502504700002,29.648357214800001
29,0,29,30,0,29,120010005007,0.000000000000000,0,0.0000000,29,-82.315414585200003,29.649689148899999
30,1,30,31,1,30,120010005008,2.000000000000000,1,8.0000000,30,-82.312904699599997,29.656105336100001
31,0,31,32,1,31,120010005009,0.000000000000000,0,2.0000000,31,-82.312723907199995,29.662342400800000
32,0,32,33,0,32,120010006001,0.000000000000000,0,0.0000000,32,-82.296819186299999,29.662223058999999
33,0,33,34,0,33,120010006002,0.000000000000000,0,0.0000000,33,-82.307189086999998,29.655062246499998
34,0,34,35,0,34,120010006003,0.000000000000000,0,0.0000000,34,-82.303693019299999,29.655770050499999
35,0,35,36,1,35,120010006004,0.000000000000000,0,1.0000000,35,-82.285621870800000,29.657037379500000
36,0,36,37,0,36,120010006005,0.000000000000000,0,0.0000000,36,-82.284092972600007,29.646431819099998
37,0,37,38,0,37,120010007001,0.000000000000000,0,0.0000000,37,-82.310831642699995,29.648338458800001
38,0,38,39,0,38,120010007002,0.000000000000000,0,0.0000000,38,-82.312002210800003,29.639187690800000
39,0,39,40,0,39,120010007003,0.000000000000000,0,0.0000000,39,-82.297337342500001,29.632443459899999
40,1,40,41,0,40,120010007004,1.000000000000000,1,0.0000000,40,-82.279417694299994,29.617721430300001
41,0,41,42,0,41,120010007005,0.000000000000000,0,0.0000000,41,-82.271175730600007,29.632482651499998
42,1,42,43,1,42,120010007006,0.000000000000000,3,3.0000000,42,-82.284562407899998,29.612259867799999
43,0,43,44,0,43,120010007007,0.000000000000000,0,0.0000000,43,-82.322722257199999,29.637429544400000
44,1,44,45,1,44,120010008001,3.000000000000000,2,9.0000000,44,-82.332717153399997,29.637986517900000
45,1,45,46,1,45,120010008002,5.000000000000000,2,14.0000000,45,-82.331302107599996,29.624677817100000
46,1,46,47,1,46,120010008003,138.000000000000000,4,65.0000000,46,-82.346496649700001,29.630499955600001
47,0,47,48,1,47,120010009001,188.000000000000000,0,607.0000000,47,-82.346689323400000,29.644929512200001
48,1,48,49,1,48,120010009002,8.000000000000000,12,1.0000000,48,-82.362475078900005,29.643452020900000
49,0,49,50,0,49,120010009003,0.000000000000000,0,0.0000000,49,-82.353815622699997,29.646382810999999
50,1,50,51,1,50,120010010001,3.000000000000000,3,13.0000000,50,-82.346252840399998,29.662965578000001
51,1,51,52,1,51,120010010002,0.000000000000000,1,5.0000000,51,-82.343153697800005,29.657506713400000
52,1,52,53,1,52,120010010003,3.000000000000000,2,10.0000000,52,-82.343409131700000,29.653936006900000
53,1,53,54,0,53,120010010004,1.000000000000000,4,0.0000000,53,-82.352187977300005,29.655443131100000
54,1,54,55,1,54,120010010005,4.000000000000000,2,6.0000000,54,-82.363002123900003,29.663043569799999
55,1,55,56,1,55,120010010006,8.000000000000000,1,4.0000000,55,-82.364363448500001,29.654153407500001
56,1,56,57,1,56,120010011001,21.000000000000000,7,6.0000000,56,-82.380160290600003,29.679260873000000
57,1,57,58,1,57,120010011002,28.000000000000000,1,44.0000000,57,-82.358077393299993,29.673488590200002
58,1,58,59,1,58,120010012001,6.000000000000000,14,18.0000000,58,-82.380106427599998,29.696186249099998
59,0,59,60,1,59,120010012002,29.000000000000000,0,31.0000000,59,-82.357704323600004,29.694794740500001
60,0,60,61,1,60,120010012003,12.000000000000000,0,7.0000000,60,-82.344569977600003,29.685086674899999
61,0,61,62,0,61,120010013001,0.000000000000000,0,0.0000000,61,-82.294863177699995,29.668733981999999
